FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,250,0,0,0,1,0,0,0,Middlesbrough,Bournemouth,Arsenal,Burnley,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Adam,MID,STK,4700000,11,40,0.666666666666667,1.41843971631206E-07,8.51063829787234E-06,0,17149,4,12,0,0,0,1,0,8.5,2725,-3,0,40,3,0.9,0,4.2,4,0,4,0,3,0.7,39659,0,109,0,1,845,13973,0,0,143,Sunderland,Man Utd,Everton,West Brom,Crystal Palace,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778E-07,5.55555555555556E-07,0,10097,0,2,0,0,0,0,0,0.6,22,-1,0,3,1,0,0,0,0,0,0,0,0,0,750,0,0,0,0,122,20,0,0,6,Watford,West Ham,West Brom,Tottenham,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,4700000,0,37,3.4,7.23404255319149E-07,7.87234042553191E-06,0,98419,1,20,0,37,0,0,0,7.9,1751,-3,0,37,3,0,0,0,3,0,3,0,0,1.9,54529,0,356,0,0,990,183,0,0,198,Crystal Palace,Middlesbrough,Man City,Southampton,West Brom,4.1,3.2,3.8,3.7,4.1,3,3.8,3.3,3.6,3.6,4,3.8,2.4,3.9,3.8,4.3,4.7,2.3
Ibrahim,Afellay,MID,STK,5400000,1,4,0.0666666666666667,1.23456790123457E-08,7.40740740740741E-07,0,613,0,2,0,0,0,0,0,0.7,55,-1,0,4,1,0.1,0,0.7,0,0,0,0,0,0,600,0,270,0,0,100,86,0,0,17,Sunderland,Man Utd,Everton,West Brom,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benik,Afobe,FWD,BOU,5600000,0,33,2.2,3.92857142857143E-07,5.89285714285714E-06,0,36874,0,7,0,0,0,2,0,5.9,3537,-4,0,33,4,0.6,0,3.3,1,0,2,0,2,0.8,39658,0,146,0,0,480,4082,0,0,89,Hull City,Watford,Crystal Palace,Everton,Man City,2.1,2.3,2.4,1.2,2.2,1.4,1.3,2.5,2.5,1.3,1.4,1.8,1.1,2.1,1.4,2.1,2.8,1.4
Sergio,Aguero,FWD,MCI,12800000,7,83,5.9,4.609375E-07,6.484375E-06,0,2740173,3,15,0,0,0,11,0,6.5,16168,-2,0,83,2,0.1,1,1.5,18,0,2,0,1,21.6,1848530,0,789,0,4,1141,25835,0,1,310,Everton,Tottenham,West Ham,Swansea,Bournemouth,6.5,8.2,7.3,8.1,6.3,7.4,7,7.9,8.5,7,6,8.3,6.9,8.1,7.1,8,8.9,7.3
Ola,Aina,DEF,CHE,4600000,0,2,0.0333333333333333,7.2463768115942E-09,4.34782608695652E-07,0,4582,0,0,0,0,0,0,0,0.4,30,-4,0,2,4,0,0,0.2,0,0,0,0,0,0.1,530,0,0,0,0,10,11,0,0,6,Leicester,Hull City,Liverpool,Arsenal,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4400000,1,51,0.85,1.93181818181818E-07,1.15909090909091E-05,0,95387,0,17,0,0,0,3,0,11.6,14953,-1,0,51,1,1,0,4.3,8,0,3,0,0,9.8,416750,0,232,0,2,735,62597,0,0,236,Hull City,Watford,Crystal Palace,Everton,Man City,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.8,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.6,0.5,0.4
Chuba,Akpom,FWD,ARS,5100000,0,0,0,0,0,0,8706,0,0,0,0,0,0,0,0,42,-4,0,0,4,0,0,0,0,0,0,0,0,0.1,1244,0,0,0,0,0,17,0,0,0,Swansea,Burnley,Watford,Chelsea,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc,Albrighton,MID,LEI,5000000,1,39,2.3,4.6E-07,7.8E-06,0,59651,3,21,0,0,0,0,0,7.8,899,-5,0,39,5,0.5,0,2.5,2,0,5,0,1,0.8,14168,0,519,0,0,1193,636,0,0,208,Chelsea,Southampton,Burnley,Man Utd,Swansea,1.6,1.2,1.2,1.9,1.3,1.4,2.1,1.2,1.2,2,3,1.2,1.2,1.8,1.2,2.5,1.2,2.2
Toby,Alderweireld,DEF,TOT,6300000,6,47,3.9,6.19047619047619E-07,7.46031746031746E-06,0,607229,0,5,0,0,0,0,0,7.5,3134,-2,0,47,2,0.4,0,2.7,0,0,6,0,0,9.2,87149,0,598,0,0,1049,1526,0,0,249,West Brom,Man City,Sunderland,Middlesbrough,Liverpool,5.1,3.6,2.8,5,4.1,5.6,4.9,4.2,5.8,2.6,3.7,5.1,5.7,2.4,5.7,4.4,3.9,4.1
Trent,Alexander-Arnold,MID,LIV,4300000,0,1,0.0166666666666667,3.87596899224806E-09,2.32558139534884E-07,0,1148,0,0,0,0,0,0,0,0.2,29,-2,0,1,2,0,0,0.2,0,0,0,0,0,0,969,0,0,0,0,1,16,0,0,1,Man Utd,Swansea,Chelsea,Hull City,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Allen,MID,STK,5300000,3,78,4.1,7.73584905660377E-07,1.47169811320755E-05,0,594864,6,30,0,0,0,5,0,14.7,32569,3,0,78,-3,0.6,0,3.3,9,0,5,0,3,13.2,1037353,0,132,0,1,1552,28640,0,0,347,Sunderland,Man Utd,Everton,West Brom,Crystal Palace,4.6,4.2,4.7,3.6,4,2.6,4.7,3,3.7,3.9,3.5,3.3,4.5,3.9,4.1,3.3,3.3,3.3
Bamidele,Alli,MID,TOT,8500000,15,115,6.1,7.17647058823529E-07,1.35294117647059E-05,0,426012,3,10,0,0,0,10,0,13.7,6835,0,-2,115,0,1.1,0,9.7,12,0,8,0,4,15.3,603837,0,666,0,3,1444,285896,2,0,342,West Brom,Man City,Sunderland,Middlesbrough,Liverpool,8.1,5.1,6.6,8.5,3.8,8.1,8.5,6.1,8.3,5.8,6.4,9.1,8.6,6.4,6.6,5.3,7.9,6.1
Ryan,Allsop,GLK,BOU,4000000,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2191,0,0,0,0,0,250,0,0,0,Hull City,Watford,Crystal Palace,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos,Alonso,DEF,CHE,6500000,1,83,5.5,8.46153846153846E-07,1.27692307692308E-05,0,93786,2,6,0,0,0,1,0,12.8,23878,5,0,83,-5,0.7,0,4.8,3,0,10,0,3,8.9,430674,0,0,0,1,1270,5450,0,0,333,Leicester,Hull City,Liverpool,Arsenal,Burnley,4.6,7.9,6.5,7.9,5,7.4,6.6,7.7,6.7,7.6,7.4,6.3,5.3,8.1,5.7,7.7,6.5,7.4
Daniel,Amartey,MID,LEI,4500000,3,44,2.6,5.77777777777778E-07,9.77777777777778E-06,0,15053,3,25,0,0,0,1,0,9.8,3854,0,0,44,0,0.8,0,3.5,3,0,4,0,1,0.4,25934,0,23,0,1,1377,908,0,0,207,Chelsea,Southampton,Burnley,Man Utd,Swansea,0,1.3,1.4,2.3,1.6,1.7,2.5,1.3,1.3,2.4,3.5,1.4,1.5,2.2,1.4,3,1.3,2.6
Jordi,Amat,DEF,SWA,4100000,0,20,1.3,3.17073170731707E-07,4.8780487804878E-06,0,301944,5,34,0,0,0,0,0,4.9,22249,1,0,20,-1,0.3,0,1.3,0,0,2,0,0,11.3,381856,0,63,0,0,1350,5271,0,0,224,Arsenal,Liverpool,Southampton,Man City,Leicester,1.1,0.9,1.2,0.7,0.7,0.6,1,0.8,0.7,0.8,1,1.1,0.7,1.1,0.6,0.8,0.6,0.9
Nordin,Amrabat,MID,WAT,5000000,0,46,2.6,5.2E-07,9.2E-06,0,13589,3,32,0,0,0,0,0,9.2,1274,0,0,46,0,0.4,0,2.2,5,0,2,0,3,0.2,15510,0,74,0,0,1403,92,0,0,185,Middlesbrough,Bournemouth,Arsenal,Burnley,Man Utd,0,1.4,1.3,3.2,1.7,2.1,2.4,1.3,1.7,3.4,2.3,1.3,2.3,1.7,1.6,1.8,1.5,1.8
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,2330,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1688,0,0,0,0,0,15,0,0,0,West Ham,Everton,Bournemouth,Sunderland,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Angelino,DEF,MCI,4300000,0,0,0,0,0,0,2447,0,0,0,0,0,0,0,0,121,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,899,0,0,0,0,0,9,0,0,0,Everton,Tottenham,West Ham,Swansea,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor,Anichebe,FWD,SUN,4600000,0,36,3.6,7.82608695652174E-07,7.82608695652174E-06,0,181684,1,12,0,0,0,3,0,7.7,29055,1,1,36,-1,0.3,0,1.2,5,0,2,0,1,3.4,310581,0,0,0,1,690,1296,-1,0,133,Stoke,West Brom,Tottenham,Crystal Palace,Southampton,0,0,0,3.9,4.5,2.7,4.5,3,5.3,3.1,3.1,4,4.9,3,4.4,4.1,4.9,2.4
Michail,Antonio,MID,WHU,6800000,2,89,4.7,6.91176470588235E-07,1.30882352941176E-05,0,811057,4,28,0,0,0,8,0,13.1,24636,-2,0,89,2,0.7,0,4.7,4,0,6,0,2,10.5,1028150,0,452,0,2,1636,29828,0,0,284,Crystal Palace,Middlesbrough,Man City,Southampton,West Brom,5,4.7,4.6,4,5.4,5,4.7,3.9,6.7,4.5,3.2,5.5,5.4,5.8,4.3,5,4.2,4.3
Ikechi,Anya,MID,WAT,4500000,0,1,1,2.22222222222222E-07,2.22222222222222E-07,0,5931,0,0,0,0,0,0,0,0.2,21,0,0,1,0,0,0,0,0,0,0,0,0,0.1,360,0,176,0,0,10,3,0,0,3,Middlesbrough,Bournemouth,Arsenal,Burnley,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvaro,Arbeloa,DEF,WHU,4600000,0,0,0,0,0,0,5206,3,9,0,0,0,0,0,0,119,-4,0,0,4,0,0,0,0,0,0,0,0,0.1,5003,0,0,0,0,258,18,0,0,34,Crystal Palace,Middlesbrough,Man City,Southampton,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott,Arfield,MID,BUR,5200000,2,47,2.5,4.80769230769231E-07,9.03846153846154E-06,0,6427,3,23,0,0,0,1,0,9,194,-3,0,47,3,0.5,0,2.5,3,0,4,0,2,0.1,4181,0,0,0,1,1325,226,0,0,166,Southampton,Arsenal,Leicester,Watford,Chelsea,0,1.2,3.1,1.4,2,1.2,1.3,1.2,1.7,2.2,2.4,1.3,1.2,2.3,1.2,2.4,1.2,2.2
Marko,Arnautovic,MID,STK,7100000,3,39,2.4,3.38028169014085E-07,5.49295774647887E-06,0,89570,5,20,0,0,0,1,0,5.5,413,-4,0,39,4,0.1,0,0.5,0,0,5,0,2,0.7,38921,0,528,0,0,1322,356,0,1,143,Sunderland,Man Utd,Everton,West Brom,Crystal Palace,2.1,1.8,2.1,1.5,1.7,1.2,2.1,1.2,1.6,1.7,1.5,1.4,2,1.7,1.8,1.3,1.4,1.4
Harry,Arter,MID,BOU,5000000,1,46,2.3,4.6E-07,9.2E-06,0,15122,5,34,0,0,0,0,0,9.2,556,0,0,46,0,0.4,0,2,2,0,6,0,2,0.3,17858,0,188,0,0,1753,880,0,1,303,Hull City,Watford,Crystal Palace,Everton,Man City,1.3,2.5,1.8,1.2,1.6,1.2,1.3,1.8,2,1.2,1.2,1.6,1.2,2.2,1.7,2,2.8,1.4
Takuma,Asano,FWD,ARS,4900000,0,0,0,0,0,0,4281,0,0,0,0,0,0,0,0,24,-1,0,0,1,0,0,0,0,0,0,0,0,0,536,0,0,0,0,0,15,0,0,0,Swansea,Burnley,Watford,Chelsea,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel,Asoro,MID,SUN,4400000,0,1,0.0166666666666667,3.78787878787879E-09,2.27272727272727E-07,0,551,0,0,0,0,0,0,0,0.2,10,-1,0,1,1,0,0,0,0,0,0,0,0,0,477,0,0,0,0,10,9,0,0,3,Stoke,West Brom,Tottenham,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Austin,FWD,SOU,6400000,0,59,4.5,7.03125E-07,9.21875E-06,0,870296,1,7,0,0,0,6,0,9.2,7764,-1,1,59,1,0,0,0,10,0,6,0,1,2.5,868161,0,32,0,1,866,272,-1,0,211,Burnley,Leicester,Swansea,West Ham,Sunderland,0,0,0,0,0,5.6,4.6,5.3,3.9,5.9,6.3,4.5,5.9,3.7,6.5,4.6,4.5,5.7
Daniel,Ayala,DEF,MID,4800000,0,20,0.333333333333333,6.94444444444444E-08,4.16666666666667E-06,0,10118,2,5,0,0,0,1,0,4.2,158,-2,0,20,2,0,0,0,0,0,2,0,0,0.1,5797,0,0,0,0,390,30,0,0,91,Watford,West Ham,West Brom,Tottenham,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Andre,Ayew,MID,WHU,7100000,1,24,0.4,5.63380281690141E-08,3.38028169014085E-06,0,273583,0,9,0,0,0,1,0,3.4,945,-4,0,24,4,0.4,0,2.5,0,0,2,0,0,1.1,8144,0,524,0,0,501,88,0,0,60,Crystal Palace,Middlesbrough,Man City,Southampton,West Brom,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Cesar,Azpilicueta,DEF,CHE,6600000,1,97,4.8,7.27272727272727E-07,1.46969696969697E-05,0,315974,3,15,0,0,0,0,0,14.7,18698,6,0,97,-6,0.9,0,6.2,15,0,11,0,2,21,632929,0,470,0,1,1800,16296,0,0,482,Leicester,Hull City,Liverpool,Arsenal,Burnley,3.7,6.9,5.7,6.9,4,6.1,5.8,6.5,5.9,6.6,6.2,5.4,4.3,7.1,4.6,6.4,5.4,6.2
,Baba Rahman,DEF,CHE,5500000,0,0,0,0,0,0,1182,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,138,0,0,0,11,0,0,0,Leicester,Hull City,Liverpool,Arsenal,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric,Bailly,DEF,MUN,5300000,0,34,2.8,5.28301886792453E-07,6.41509433962264E-06,0,500539,3,11,0,0,0,0,0,6.4,5498,-2,0,34,2,0.1,0,0.7,7,0,3,0,0,5.9,193299,0,0,0,0,918,213,0,0,216,Liverpool,Stoke,Hull City,Leicester,Watford,0,3,3.2,1.7,2.9,2.5,3.4,3,2.6,2.9,2.8,1.9,2.7,1.8,2.7,3.2,2.3,3
Leighton,Baines,DEF,EVE,5500000,15,72,5.1,9.27272727272727E-07,1.30909090909091E-05,0,417047,2,13,0,0,0,2,0,13.3,7669,0,-1,72,0,1.1,1,6.2,13,0,4,0,3,8.4,413138,0,212,0,1,1244,73692,1,0,297,Man City,Crystal Palace,Stoke,Bournemouth,Middlesbrough,6.8,6.3,6,7.6,5.6,6.8,5.2,7.2,7.4,5.9,4.5,6.5,7.5,6,6.8,5.7,7.1,6.1
Mario,Balotelli,FWD,LIV,6300000,0,0,0,0,0,0,11447,0,0,0,0,0,0,0,0,103,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,1703,0,0,0,0,0,51,0,0,0,Man Utd,Swansea,Chelsea,Hull City,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick,Bamford,FWD,BUR,4900000,1,6,0.1,2.04081632653061E-08,1.22448979591837E-06,0,2976,0,1,0,0,0,0,0,1.2,73,-1,1,6,1,0.1,0,0.3,0,0,0,0,0,0,3556,0,0,0,0,39,54,-1,0,14,Southampton,Arsenal,Leicester,Watford,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex,Baptiste,DEF,MID,4000000,0,0,0,0,0,0,3407,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2516,0,0,0,0,0,15,0,0,0,Watford,West Ham,West Brom,Tottenham,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Bardsley,DEF,STK,4300000,0,20,0.333333333333333,7.75193798449612E-08,4.65116279069767E-06,0,9453,2,9,0,0,0,0,0,4.7,100,-2,0,20,2,0,0,0,0,0,2,0,0,0.1,6892,0,107,0,0,661,73,0,0,105,Sunderland,Man Utd,Everton,West Brom,Crystal Palace,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ross,Barkley,MID,EVE,7000000,3,64,3.6,5.14285714285714E-07,9.14285714285714E-06,0,640637,3,18,0,0,0,3,0,9.1,4541,-5,0,64,5,0.5,0,3.8,7,0,3,0,3,6,486331,0,654,0,0,1386,3397,0,0,223,Man City,Crystal Palace,Stoke,Bournemouth,Middlesbrough,3.2,2.8,2.7,4.1,3,5.2,1.9,3.8,3.9,1.8,2.9,4.8,5,2.4,3.2,3,4.6,2
Ashley,Barnes,FWD,BUR,4500000,2,32,0.533333333333333,1.18518518518519E-07,7.11111111111111E-06,0,48586,2,9,0,0,0,3,0,7.1,7953,0,0,32,0,0.8,0,3.7,3,0,1,0,1,2.3,129716,0,0,0,1,529,15805,0,0,106,Southampton,Arsenal,Leicester,Watford,Chelsea,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Antonio,Barragan,DEF,MID,4600000,1,52,2.7,5.8695652173913E-07,1.1304347826087E-05,0,54283,5,20,0,0,0,0,0,11.3,6991,1,0,52,-1,0.4,0,1.7,5,0,5,0,0,1.7,99411,0,0,0,0,1631,640,0,0,327,Watford,West Ham,West Brom,Tottenham,Everton,0,3.8,2.9,2.1,2.7,2.7,2.8,2.7,2,2.3,2.6,3.1,3.4,2.4,2.7,2,3.4,2.6
Modou,Barrow,FWD,SWA,5000000,0,34,1.9,3.8E-07,6.8E-06,0,97710,1,23,0,0,0,0,0,6.8,4095,0,0,34,0,0.2,0,0.8,0,0,4,0,2,1.2,111023,0,120,0,0,1145,831,0,0,136,Arsenal,Liverpool,Southampton,Man City,Leicester,1.4,1.3,1.6,1.4,1.9,1,2.1,1.9,1.1,1.5,1.6,1.5,1.3,1.5,1.2,1.5,1.4,1.5
Gareth,Barry,MID,EVE,4500000,1,47,2.6,5.77777777777778E-07,1.04444444444444E-05,0,314423,6,21,0,0,0,2,0,10.4,7557,0,0,47,0,0.4,0,2,3,0,4,0,1,4.3,357043,0,418,0,0,1376,3061,0,0,230,Man City,Crystal Palace,Stoke,Bournemouth,Middlesbrough,1.9,1.7,1.6,2.5,1.8,3.4,1.3,2.3,2.4,1.3,1.7,3.1,3.2,1.4,1.9,1.8,2.9,1.3
Borja,Baston,FWD,SWA,6700000,0,25,0.416666666666667,6.21890547263682E-08,3.73134328358209E-06,0,9468,0,9,0,0,0,1,0,3.7,59,-3,1,25,3,0.1,0,1,1,0,1,0,2,0,6341,0,0,0,0,475,20,-1,0,64,Arsenal,Liverpool,Southampton,Man City,Leicester,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michy,Batshuayi,FWD,CHE,8500000,1,20,1.7,2E-07,2.35294117647059E-06,0,124403,0,0,0,0,0,1,0,2.4,947,-5,0,20,5,0.1,0,0.5,1,0,0,0,1,1,58075,0,0,0,0,94,35,0,0,58,Leicester,Hull City,Liverpool,Arsenal,Burnley,1,1.9,1,1.3,0.9,1.6,1.1,1.5,1,1.6,1.4,0.8,0.9,1.4,0.8,1.3,1,1.7
Asmir,Begovic,GLK,CHE,4700000,0,0,0,0,0,0,5712,0,0,0,0,0,0,0,0,105,-3,0,0,3,0,0,0,0,0,0,0,0,0.2,1350,0,150,0,0,0,34,0,0,0,Leicester,Hull City,Liverpool,Arsenal,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valon,Behrami,MID,WAT,4500000,1,29,1.7,3.77777777777778E-07,6.44444444444444E-06,0,15201,6,23,0,0,0,0,0,6.4,370,0,0,29,0,0.2,0,0.8,0,0,3,0,0,0.2,12032,0,127,0,0,1351,40,0,0,164,Middlesbrough,Bournemouth,Arsenal,Burnley,Man Utd,0,0.8,0.8,1.7,0.8,1,1.2,0.8,0.8,1.9,1.2,0.8,1.2,0.8,0.8,0.9,0.8,0.9
Hector,Bellerin,DEF,ARS,6500000,0,70,4.1,6.30769230769231E-07,1.07692307692308E-05,0,858162,1,19,0,0,0,0,0,10.8,13936,0,0,70,0,0.6,0,3.8,10,0,6,0,3,16.7,353565,0,541,0,1,1506,6426,0,0,324,Swansea,Burnley,Watford,Chelsea,Hull City,0,5.4,5.1,3.9,5.5,5,4.9,4.6,4.4,4.9,5.9,5,4.4,4.9,4,3.9,5,4.9
Yohan,Benalouane,DEF,LEI,4000000,0,0,0,0,0,0,7816,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1386,0,15,0,0,0,10,0,0,0,Chelsea,Southampton,Burnley,Man Utd,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nabil,Bentaleb,MID,TOT,4500000,0,0,0,0,0,0,4192,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0.1,472,0,29,0,0,0,8,0,0,0,West Brom,Man City,Sunderland,Middlesbrough,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saido,Berahino,FWD,WBA,6000000,0,6,1.5,2.5E-07,1E-06,0,43954,1,2,0,0,0,0,0,1,204,-5,0,6,5,0,0,0,0,0,2,0,0,0.4,10755,0,226,0,0,243,43,0,0,-3,Tottenham,Sunderland,Middlesbrough,Stoke,West Ham,0,0,0,1.1,1,1.1,1.3,0.8,1,0.8,0.8,1.1,1.2,0.9,1.4,0.8,0.9,1.1
Steven,Berghuis,MID,WAT,5000000,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,55,0,0,0,1,0,0,0,Middlesbrough,Bournemouth,Arsenal,Burnley,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bernardo,DEF,MID,4300000,0,1,0.0166666666666667,3.87596899224806E-09,2.32558139534884E-07,0,762,0,2,0,0,0,0,0,0.2,35,-2,0,1,2,0,0,0.2,0,0,0,0,0,0,539,0,0,0,0,90,32,0,0,19,Watford,West Ham,West Brom,Tottenham,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Bertrand,DEF,SOU,5400000,0,52,4.3,7.96296296296296E-07,9.62962962962963E-06,0,56201,2,14,0,0,0,1,0,9.6,4815,-1,0,52,1,0.4,0,2.3,3,0,6,0,1,1.3,68491,0,415,0,1,1067,1066,0,0,227,Burnley,Leicester,Swansea,West Ham,Sunderland,3.3,5.1,4.5,6.3,3.4,6.2,4.1,4.4,4.1,6.3,5.7,4.5,5.4,4,6,5,4.4,6.2
Muhamed,Besic,MID,EVE,4300000,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,18,-2,1,0,2,0,0,0,0,0,0,0,0,0,409,0,75,0,0,0,11,-1,0,0,Man City,Crystal Palace,Stoke,Bournemouth,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daley,Blind,DEF,MUN,5300000,0,62,4.8,9.05660377358491E-07,1.16981132075472E-05,0,348737,2,12,0,0,0,1,0,11.7,16322,-2,0,62,2,0.5,0,2.5,10,0,5,0,2,5.7,417619,0,477,0,1,1080,2851,0,0,330,Liverpool,Stoke,Hull City,Leicester,Watford,6.8,6.2,6.6,4.1,6.2,5.6,7,6,5.7,6.3,6,4.6,5.9,4.4,5.9,6.2,5.3,6.3
Hiram,Boateng,MID,CRY,4500000,0,0,0,0,0,0,574,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,13,0,0,0,West Ham,Everton,Bournemouth,Sunderland,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bojan,MID,STK,5500000,0,30,0.5,9.09090909090909E-08,5.45454545454545E-06,0,103089,1,12,0,0,0,3,0,5.5,763,-5,0,30,5,0.3,1,1.7,4,0,0,0,0,0.9,45971,0,360,0,0,475,315,0,0,93,Sunderland,Man Utd,Everton,West Brom,Crystal Palace,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Yannick,Bolasie,MID,EVE,5700000,0,45,0.75,1.31578947368421E-07,7.89473684210526E-06,0,410491,3,14,0,0,0,1,0,7.9,2395,-3,0,45,3,0,0,0,3,0,3,0,4,2,292210,0,469,0,0,1048,57,0,0,172,Man City,Crystal Palace,Stoke,Bournemouth,Middlesbrough,0,0,0,0,0,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4
Wilfried,Bony,FWD,STK,7000000,0,29,2.9,4.14285714285714E-07,4.14285714285714E-06,0,126934,1,12,0,0,0,2,0,4.1,1032,-5,0,29,5,0,0,0.2,3,0,3,0,0,0.7,112673,0,249,0,1,684,95,0,0,92,Sunderland,Man Utd,Everton,West Brom,Crystal Palace,0,2.7,3,2.4,3.4,2,3,2.7,2.6,2.5,2.3,3.3,3.9,3.1,3.4,2,2.9,2.3
Fabio,Borini,FWD,SUN,5100000,2,17,0.283333333333333,5.55555555555556E-08,3.33333333333333E-06,0,72016,2,12,0,0,0,1,0,3.3,1531,-4,0,17,4,0.4,0,2.2,1,0,2,0,0,0.7,18690,0,280,0,0,594,2009,0,0,65,Stoke,West Brom,Tottenham,Crystal Palace,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
