FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,250,0,0,0,5,0,0,0,Middlesbrough,Swansea,Hull City,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Adam,MID,STK,4700000,0,0,0,0,0,0,2911,2,1,0,0,0,0,0,0,167,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,658,0,109,0,0,25,89,0,0,-3,Sunderland,Hull City,Swansea,West Ham,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778E-07,5.55555555555556E-07,0,9649,0,2,0,0,0,0,0,0.6,138,-1,0,3,1,0,0,0,0,0,0,0,0,0,628,0,0,0,0,122,1,0,0,6,Watford,Arsenal,Bournemouth,Man City,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,5000000,2,19,2.7,5.4E-07,3.8E-06,0,52867,0,17,0,25,0,0,0,3.8,6366,0,0,19,0,0.3,0,1.7,2,0,1,0,0,2.9,45542,0,356,0,0,630,480,0,0,118,Crystal Palace,Sunderland,Everton,Stoke,Tottenham,2.8,2.8,1.8,3.6,2.3,1.6,3.7,3,3.6,2.3,2.6,1.5,2,3.1,2,2.6,2.5,2.7,2,2.5,2.2,3,2.8,3.5,2.5,2.3,2.6,3.4,3.1,4.1,1.8
Ibrahim,Afellay,MID,STK,5400000,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,25,-1,0,0,1,0,0,0,0,0,0,0,0,0,99,0,270,0,0,0,23,0,0,0,Sunderland,Hull City,Swansea,West Ham,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benik,Afobe,FWD,BOU,5600000,1,3,0.142857142857143,2.55102040816327E-08,5.35714285714286E-07,0,18569,0,0,0,0,0,0,0,0.5,854,-4,1,3,4,0.1,0,0.7,0,0,0,0,0,0.3,2996,0,146,0,0,25,265,-1,0,5,Hull City,Tottenham,Middlesbrough,Sunderland,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sergio,Aguero,FWD,MCI,13100000,2,39,7.8,5.95419847328244E-07,2.97709923664122E-06,0,1236723,0,6,0,0,0,5,0,3,17513,1,-1,39,-1,0.4,0,5,9,0,0,0,0,44.9,1271607,0,789,0,2,439,134259,1,0,156,Everton,Southampton,West Brom,Middlesbrough,Crystal Palace,11.6,11.7,9.4,10.9,9.4,7.8,11.6,8,11.4,10.6,10.8,8.2,11.7,8.9,11,8.8,10.6,7.8,11.1,9.2,10.9,11.7,9.2,8.9,10.2,8.6,11.1,9.7,11.1,11.7,9.1
Ola,Aina,DEF,CHE,4700000,0,0,0,0,0,0,3863,0,0,0,0,0,0,0,0,150,-3,1,0,3,0,0,0,0,0,0,0,0,0.1,276,0,0,0,0,0,28,-1,0,0,Leicester,Man Utd,Southampton,Everton,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4300000,0,2,0.0952380952380952,2.21483942414175E-08,4.65116279069767E-07,0,33154,0,2,0,0,0,0,0,0.5,2016,-2,0,2,2,0,0,0,0,0,0,0,0,1.1,3980,0,232,0,0,15,291,0,0,6,Hull City,Tottenham,Middlesbrough,Sunderland,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuba,Akpom,FWD,ARS,5200000,0,0,0,0,0,0,7643,0,0,0,0,0,0,0,0,376,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1012,0,0,0,0,0,60,0,0,0,Swansea,Middlesbrough,Sunderland,Tottenham,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc,Albrighton,MID,LEI,5200000,3,16,2.7,5.19230769230769E-07,3.07692307692308E-06,0,42848,0,7,0,0,0,0,0,3,2742,-3,1,16,3,0.5,0,2.7,0,0,4,0,0,1,6900,0,519,0,0,440,536,-1,0,64,Chelsea,Crystal Palace,Tottenham,West Brom,Watford,1.4,2.4,1.4,2.4,1.5,3.1,2,2.4,1.4,1.7,2.6,2.6,2.1,2.5,1.4,1.4,2.7,1.9,2.1,2.2,1.4,1.4,2.7,3.3,1.4,1.4,2.3,1.4,2.8,1.4,3.5
Toby,Alderweireld,DEF,TOT,6500000,6,30,4.3,6.61538461538462E-07,4.61538461538462E-06,0,215588,0,3,0,0,0,0,0,4.6,13392,0,0,30,0,0.7,0,4.7,0,0,4,0,0,18.9,67734,0,598,0,0,630,12813,0,0,148,West Brom,Bournemouth,Leicester,Arsenal,West Ham,4.7,4.4,5.7,5.5,6.3,3.7,5,3.5,4.6,6.4,5,4.1,4.9,5.3,3.3,4.6,4.5,4.8,5.9,5.1,5.4,6.4,3.8,5.1,5.1,6.4,3.2,5.9,5.1,4.1,5.4
Trent,Alexander-Arnold,MID,LIV,4400000,0,0,0,0,0,0,745,0,0,0,0,0,0,0,0,60,-1,0,0,1,0,0,0,0,0,0,0,0,0,694,0,0,0,0,0,28,0,0,0,Man Utd,West Brom,Crystal Palace,Watford,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Allen,MID,STK,4800000,8,27,3.9,8.125E-07,5.625E-06,0,44139,1,14,0,0,0,2,0,5.6,6888,-2,0,27,2,1.5,0,7,4,0,1,0,0,1.7,40748,0,132,0,0,548,23853,0,0,126,Sunderland,Hull City,Swansea,West Ham,Bournemouth,0,0,3.6,3.3,4.9,3.9,5.1,2.8,3.9,5.1,2,3.3,3.9,4.7,3.8,3.7,3.7,3.4,2.9,4.4,2.6,3.5,3.7,3.3,3,3,4.6,3.7,3.1,2.4,3.4
Bamidele,Alli,MID,TOT,8200000,8,28,4,4.8780487804878E-07,3.41463414634146E-06,0,249764,1,3,0,0,0,2,0,3.4,5766,-3,1,28,3,0.6,0,5.3,0,0,3,0,1,6.2,46716,0,666,0,0,558,22160,-1,0,90,West Brom,Bournemouth,Leicester,Arsenal,West Ham,3.4,2.8,5.6,2.5,4.2,3,4.2,3.8,3.5,5.6,3.1,3.6,4.1,4,2.3,4.5,4.9,2,4.3,4.3,3.4,4.5,3,4.3,4.5,5.5,3.3,2.8,3,4.4,4.3
Marcos,Alonso,DEF,CHE,5900000,6,7,0.333333333333333,5.64971751412429E-08,1.1864406779661E-06,0,1654,0,0,0,0,0,0,0,1.2,219,-1,0,7,1,0.4,0,2.3,0,0,1,0,0,0.1,3483,0,0,0,0,126,1523,0,0,42,Leicester,Man Utd,Southampton,Everton,Middlesbrough,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Daniel,Amartey,MID,LEI,4500000,3,15,2.5,5.55555555555556E-07,3.33333333333333E-06,0,2674,1,9,0,0,0,0,0,3.3,520,0,0,15,0,0.8,0,3.7,0,0,2,0,1,0.2,5618,0,23,0,0,473,1394,0,0,72,Chelsea,Crystal Palace,Tottenham,West Brom,Watford,1.2,2.1,1.2,2.2,1.3,2.8,1.7,2.1,1.2,1.5,2.3,2.3,1.9,2.2,1.2,1.2,2.4,1.6,1.9,1.9,1.2,1.2,2.4,2.9,1.2,1.2,2.1,1.2,2.5,1.2,3.1
Jordi,Amat,DEF,SWA,4100000,1,10,1.4,3.41463414634146E-07,2.4390243902439E-06,0,107862,3,12,0,0,0,0,0,2.4,9736,1,0,10,-1,0.2,0,1,0,0,1,0,0,13.9,269142,0,63,0,0,630,20137,0,0,114,Arsenal,Watford,Stoke,Man Utd,Everton,2,0.7,1.5,0.7,0.8,1,1,0.8,1,0.8,1.6,1.4,1.2,1.7,1.3,1.1,0.7,0.9,0.7,1.2,1.2,0.9,0.7,1,1.6,0.8,1.2,0.7,0.7,1,0.8
Nordin,Amrabat,MID,WAT,5000000,5,15,2.5,5E-07,3E-06,0,5946,1,11,0,0,0,0,0,3,307,0,0,15,0,0.5,0,2.3,3,0,0,0,1,0.1,6884,0,74,0,0,443,624,0,0,57,Middlesbrough,Swansea,Hull City,Liverpool,Leicester,2.5,2.2,1.6,1.2,2.9,2,1.7,2,1.2,2.3,1.8,1.7,2,2.4,1.3,1.2,2.9,1.9,2,2.1,1.4,1.7,2.6,1.8,1.3,1.9,2.2,1.6,1.6,1.5,1.8
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,1908,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1522,0,0,0,0,0,17,0,0,0,West Ham,Leicester,Liverpool,Burnley,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Angelino,DEF,MCI,4400000,0,0,0,0,0,0,1592,0,0,0,0,0,0,0,0,115,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,450,0,0,0,0,0,40,0,0,0,Everton,Southampton,West Brom,Middlesbrough,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor,Anichebe,FWD,SUN,4500000,0,1,0.0476190476190476,1.05820105820106E-08,2.22222222222222E-07,0,1394,0,1,0,0,0,0,0,0.2,552,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0.1,3500,0,0,0,0,5,416,0,0,1,Stoke,West Ham,Arsenal,Bournemouth,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail,Antonio,MID,WHU,7200000,2,42,6,8.33333333333333E-07,5.83333333333333E-06,0,239751,1,16,0,0,0,5,0,5.8,87677,2,1,42,-2,0.5,0,3.7,4,0,1,0,0,16.2,676768,0,452,0,2,591,23058,-1,0,131,Crystal Palace,Sunderland,Everton,Stoke,Tottenham,6.3,8.4,5.9,7.6,5.1,6.9,5.4,3.6,9,6.5,7.6,6.2,7.7,7.1,7.8,7,5.8,7.2,6.6,7.3,5.3,9,7.7,4.9,7.5,7.5,7.6,7.1,6.9,6.5,5.6
Ikechi,Anya,MID,WAT,4500000,0,1,1,2.22222222222222E-07,2.22222222222222E-07,0,5139,0,0,0,0,0,0,0,0.2,210,0,0,1,0,0,0,0,0,0,0,0,0,0.1,327,0,176,0,0,10,1,0,0,3,Middlesbrough,Swansea,Hull City,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvaro,Arbeloa,DEF,WHU,4900000,1,1,0.0476190476190476,9.71817298347911E-09,2.04081632653061E-07,0,2611,2,4,0,0,0,0,0,0.2,329,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.1,4090,0,0,0,0,174,226,0,0,21,Crystal Palace,Sunderland,Everton,Stoke,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott,Arfield,MID,BUR,5200000,1,10,0.476190476190476,9.15750915750916E-08,1.92307692307692E-06,0,3540,1,6,0,0,0,0,0,1.9,191,-3,1,10,3,0.2,0,1,0,0,2,0,0,0.1,788,0,0,0,0,328,10,-1,0,37,Southampton,Everton,Man Utd,Crystal Palace,West Brom,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Marko,Arnautovic,MID,STK,7200000,2,16,2.3,3.19444444444444E-07,2.22222222222222E-06,0,47843,3,15,0,0,0,1,0,2.2,2776,-3,0,16,3,0.5,0,3.3,0,0,0,0,0,1.3,20650,0,528,0,0,613,11144,0,0,52,Sunderland,Hull City,Swansea,West Ham,Bournemouth,2.1,2.1,1.6,1.4,2.3,1.7,2.4,1.2,1.7,2.4,1.2,1.4,1.7,2.2,1.7,1.6,1.6,1.4,1.2,2,1.2,1.5,1.6,1.4,1.2,1.2,2.1,1.6,1.3,1.2,1.4
Harry,Arter,MID,BOU,5000000,2,21,3,6E-07,4.2E-06,0,5308,0,11,0,0,0,0,0,4.2,1295,0,0,21,0,0.8,0,4,2,0,2,0,2,0.3,7966,0,188,0,0,616,772,0,1,118,Hull City,Tottenham,Middlesbrough,Sunderland,Stoke,0,2.8,2.3,3.8,1.8,1.5,2.6,1.5,4.2,3.3,1.5,2,2.1,2.1,3.3,2.9,1.5,2.9,1.5,1.7,3.1,3.1,1.5,1.5,3,1.5,3.7,2.1,3.2,4.2,1.5
Takuma,Asano,FWD,ARS,4900000,0,0,0,0,0,0,3855,0,0,0,0,0,0,0,0,102,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,396,0,0,0,0,0,16,0,0,0,Swansea,Middlesbrough,Sunderland,Tottenham,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel,Asoro,MID,SUN,4500000,0,1,0.0476190476190476,1.05820105820106E-08,2.22222222222222E-07,0,385,0,0,0,0,0,0,0,0.2,14,0,0,1,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,10,7,0,0,3,Stoke,West Ham,Arsenal,Bournemouth,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Austin,FWD,SOU,6400000,2,23,3.8,5.9375E-07,3.59375E-06,0,63333,0,0,0,0,0,2,0,3.7,8577,-1,-1,23,1,1,0,6.3,3,0,3,0,1,5.7,216693,0,32,0,0,297,70855,1,0,76,Burnley,Man City,Chelsea,Hull City,Liverpool,5.6,3.6,4.9,5.4,5.7,4.4,3.9,4.5,4.8,2.9,4,4.5,3.1,2.9,5.3,4.8,5.5,4.3,3.8,4.4,4.1,2.7,5.6,4.6,3.8,5.3,3.6,4.9,4.1,4,5.3
Daniel,Ayala,DEF,MID,5000000,0,13,0.619047619047619,1.23809523809524E-07,2.6E-06,0,5290,2,5,0,0,0,1,0,2.6,829,0,0,13,0,0,0,0,0,0,1,0,0,0.2,4884,0,0,0,0,278,151,0,0,68,Watford,Arsenal,Bournemouth,Man City,Chelsea,0.3,0.7,0.4,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.6,0.3,0.3,0.3,0.3,0.3
Andre,Ayew,MID,WHU,7200000,0,1,0.0476190476190476,6.61375661375661E-09,1.38888888888889E-07,0,266159,0,0,0,0,0,0,0,0.1,1398,-3,0,1,3,0,0,0,0,0,0,0,0,1.2,2525,0,524,0,0,34,18,0,0,5,Crystal Palace,Sunderland,Everton,Stoke,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesar,Azpilicueta,DEF,CHE,6000000,7,24,3.4,5.66666666666667E-07,4E-06,0,188919,1,9,0,0,0,0,0,4,13778,0,0,24,0,0.5,0,3,3,0,2,0,1,10.7,107032,0,470,0,0,630,5220,0,0,138,Leicester,Man Utd,Southampton,Everton,Middlesbrough,4.1,2.8,3.6,3.6,3,4.3,2.3,3.8,3.3,3.9,5.1,4.6,3.4,2.2,3.2,3.9,4.6,2.7,3.5,4.1,3.6,4.4,4.3,3.6,3.2,2.4,4.7,2.7,3.1,3.3,3.8
,Baba Rahman,DEF,CHE,5500000,0,0,0,0,0,0,832,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,138,0,0,0,11,0,0,0,Leicester,Man Utd,Southampton,Everton,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric,Bailly,DEF,MUN,5500000,5,24,3.4,6.18181818181818E-07,4.36363636363636E-06,0,172585,1,8,0,0,0,0,0,4.4,19925,0,0,24,0,0.5,0,2.7,5,0,2,0,0,13.3,153578,0,0,0,0,630,8134,0,0,159,Liverpool,Chelsea,Burnley,Swansea,Arsenal,4.1,2.9,4.7,3.9,4.4,4.8,3,4.1,4.1,3.6,3.6,2.9,4.3,5.1,4.6,3,2.4,3.4,2.5,5.1,3.8,3.2,3.6,3.4,3.5,3.2,2.9,3.3,4.6,3.6,4.1
Leighton,Baines,DEF,EVE,5500000,0,21,4.2,7.63636363636364E-07,3.81818181818182E-06,0,238220,0,3,0,0,0,0,0,3.8,52839,0,1,21,0,0.1,1,0.7,2,0,2,0,1,8.4,225045,0,212,0,0,450,1552,-1,0,108,Man City,Burnley,West Ham,Chelsea,Swansea,3.2,3.8,6.1,3.7,4.8,4.8,3.9,4,5.7,6.3,3.1,5.3,6.1,4.9,5.2,5.5,6.3,4.1,5.2,4.6,5.1,4.4,4.7,3.4,5.5,6.3,5,4.7,5,4.9,5.5
Mario,Balotelli,FWD,LIV,6300000,0,0,0,0,0,0,10364,0,0,0,0,0,0,0,0,271,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,1272,0,0,0,0,0,56,0,0,0,Man Utd,West Brom,Crystal Palace,Watford,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick,Bamford,FWD,BUR,5000000,0,2,0.0952380952380952,1.9047619047619E-08,4E-07,0,1270,0,1,0,0,0,0,0,0.4,288,0,0,2,0,0.1,0,0.3,0,0,0,0,0,0,2411,0,0,0,0,23,150,0,0,4,Southampton,Everton,Man Utd,Crystal Palace,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex,Baptiste,DEF,MID,4000000,0,0,0,0,0,0,2646,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2299,0,0,0,0,0,25,0,0,0,Watford,Arsenal,Bournemouth,Man City,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Bardsley,DEF,STK,4400000,1,4,0.19047619047619,4.32900432900433E-08,9.09090909090909E-07,0,2700,1,6,0,0,0,0,0,0.9,218,-1,0,4,1,0.1,0,0.3,0,0,0,0,0,0.1,1381,0,107,0,0,271,79,0,0,32,Sunderland,Hull City,Swansea,West Ham,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ross,Barkley,MID,EVE,7300000,2,24,3.4,4.65753424657534E-07,3.28767123287671E-06,0,479374,1,5,0,0,0,1,0,3.2,60549,-2,1,24,2,0.3,0,2,3,0,1,0,1,9.3,446977,0,654,0,0,564,1178,-1,0,67,Man City,Burnley,West Ham,Chelsea,Swansea,1.8,2.3,3.3,2.3,3.3,2.4,3.4,2.8,2.1,2.7,2.6,3.5,3.5,3,2.6,3.1,4.4,3.8,4.1,2,3.1,2.7,1.7,3,4.5,4.5,2.4,3.2,3.4,3.5,1.9
Ashley,Barnes,FWD,BUR,4400000,0,0,0,0,0,0,4161,0,0,0,0,0,0,0,0,468,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,3570,0,0,0,0,0,203,0,0,0,Southampton,Everton,Man Utd,Crystal Palace,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio,Barragan,DEF,MID,4500000,1,16,2.3,5.11111111111111E-07,3.55555555555556E-06,0,9747,2,10,0,0,0,0,0,3.6,1139,0,0,16,0,0.2,0,1,3,0,1,0,0,0.6,14937,0,0,0,0,630,908,0,0,134,Watford,Arsenal,Bournemouth,Man City,Chelsea,1.7,3.2,3,1.4,1.7,1.3,1.5,2.2,3.2,1.7,1.6,1.5,2.1,1.8,3.1,1.9,2.1,1.7,2.5,3,1.9,1.3,2.3,2.5,2.7,2.9,1.9,1.7,1.6,2.5,2.7
Modou,Barrow,FWD,SWA,5000000,1,14,2,4E-07,2.8E-06,0,27178,0,7,0,0,0,0,0,2.8,3833,0,0,14,0,0.3,0,1.3,0,0,1,0,1,0.9,29762,0,120,0,0,424,1615,0,0,73,Arsenal,Watford,Stoke,Man Utd,Everton,1.5,1.9,2.5,1.2,1.4,1.4,1.2,1.7,1.7,1.9,1.9,2,1.8,1,1.9,1.4,1.7,1.8,1.7,2,2.7,1.3,1.4,1.2,2,2.1,2,1.5,1.3,2,1.4
Gareth,Barry,MID,EVE,4700000,1,25,3.6,7.65957446808511E-07,5.31914893617021E-06,0,124977,3,5,0,0,0,2,0,5.3,23904,2,-1,25,-2,0.6,0,2.7,3,0,2,0,0,7.6,293646,0,418,0,0,588,14072,1,0,120,Man City,Burnley,West Ham,Chelsea,Swansea,2,2.5,3.6,2.5,3.5,2.6,3.7,3.1,2.4,3,2.9,3.8,3.8,3.3,2.9,3.4,4.7,4.1,4.4,2.2,3.4,3,1.8,3.3,4.9,4.9,2.6,3.4,3.7,3.8,2.1
Borja,Baston,FWD,SWA,6900000,5,7,0.333333333333333,4.83091787439613E-08,1.01449275362319E-06,0,3973,0,2,0,0,0,0,0,1,115,-1,0,7,1,0.3,0,2.3,0,0,0,0,1,0,1521,0,0,0,0,111,403,0,0,12,Arsenal,Watford,Stoke,Man Utd,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michy,Batshuayi,FWD,CHE,8700000,0,13,2.6,2.98850574712644E-07,1.49425287356322E-06,0,94329,0,0,0,0,0,1,0,1.5,4182,-3,0,13,3,0,0,0.3,1,0,0,0,1,1.2,36505,0,0,0,0,58,309,0,0,40,Leicester,Man Utd,Southampton,Everton,Middlesbrough,3.1,2.2,1.7,2.5,2.4,2.2,2.1,2.5,2.6,2.3,3.4,3.3,1.5,1.6,2.9,2.4,2,1.7,2.8,2.5,3.1,3.2,2.6,3.1,1.7,1.9,2.5,1.8,2.5,2.2,3
Asmir,Begovic,GLK,CHE,4800000,0,0,0,0,0,0,3983,0,0,0,0,0,0,0,0,261,-2,1,0,2,0,0,0,0,0,0,0,0,0.2,907,0,150,0,0,0,50,-1,0,0,Leicester,Man Utd,Southampton,Everton,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valon,Behrami,MID,WAT,4500000,1,11,1.6,3.55555555555556E-07,2.44444444444444E-06,0,6459,3,13,0,0,0,0,0,2.4,974,0,0,11,0,0.4,0,1.7,0,0,0,0,0,0.3,6514,0,127,0,0,603,486,0,0,81,Middlesbrough,Swansea,Hull City,Liverpool,Leicester,0,1.1,0.8,0.8,1.5,1,0.8,1,0.8,1.1,0.9,0.8,1,1.2,0.8,0.8,1.5,0.9,0.9,1,0.8,0.8,1.3,0.9,0.8,0.9,1.1,0.8,0.8,0.8,0.8
Hector,Bellerin,DEF,ARS,6500000,6,32,4.6,7.07692307692308E-07,4.92307692307692E-06,0,294875,0,7,0,0,0,0,0,4.9,20152,0,0,32,0,1,0,6.3,5,0,3,0,1,25.8,166955,0,541,0,1,630,34475,0,0,143,Swansea,Middlesbrough,Sunderland,Tottenham,Man Utd,5.1,4.5,5.6,6.1,4.4,6.9,6,5.9,4.8,4.2,5.4,6,5.4,6.1,6.8,5.1,4.7,4.6,5.9,5.7,5.8,5.7,5.1,6.3,6.3,5.2,5.4,5.7,4.1,6.4,5.1
Yohan,Benalouane,DEF,LEI,4000000,0,0,0,0,0,0,6049,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1173,0,15,0,0,0,31,0,0,0,Chelsea,Crystal Palace,Tottenham,West Brom,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nabil,Bentaleb,MID,TOT,4500000,0,0,0,0,0,0,3720,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0.1,411,0,29,0,0,0,6,0,0,0,West Brom,Bournemouth,Leicester,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saido,Berahino,FWD,WBA,6200000,0,6,1.5,2.41935483870968E-07,9.67741935483871E-07,0,35908,1,2,0,0,0,0,0,1,2004,-3,0,6,3,0,0,0,0,0,2,0,0,0.6,9744,0,226,0,0,243,534,0,0,-3,Tottenham,Liverpool,Man City,Leicester,Burnley,0.8,1.1,1.3,0.8,1.5,1.7,1.3,0.9,1.1,0.8,0.8,0.8,1.2,0.8,1.2,1.1,1.4,1.2,1.5,1,0.8,0.8,0.8,1.2,1,1.6,0.9,1.3,0.8,1.1,1.4
Steven,Berghuis,MID,WAT,5000000,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,55,0,0,0,4,0,0,0,Middlesbrough,Swansea,Hull City,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
